OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
57620,,070801050301,,Crooked Creek,Crooked Creek,,,McCausland,McCausland city,,
57621,,070801050307,,Worrell Creek-Squaw Creek,Worrell Creek-Squaw Creek,,,Long Grove,Long Grove city,,
57622,,071000040706,,Honey Creek-Des Moines River,Honey Creek-Des Moines River,,,Le Claire,Le Claire city,,
57623,,071000040901,,Little Beaver Creek-West Beaver Creek,Little Beaver Creek-West Beaver Creek,,,Panora,Panora city,,
57624,,071000061405,,Drainage Ditch 171-North Raccoon River,Drainage Ditch 171-North Raccoon River,,,Menlo,Menlo city,,
57626,,070802050703,,Black Hawk Park-Cedar River,Black Hawk Park-Cedar River,,,Jamaica,Jamaica city,,
57628,,071000061203,,West Buttrick Creek,West Buttrick Creek,,,Guthrie Center,Guthrie Center city,,
57629,,070802040203,,East Branch Beaverdam Creek,East Branch Beaverdam Creek,,,Bayard,Bayard city,,
57630,,070600040703,,Village of Eldorado-Turkey River,Village of Eldorado-Turkey River,,,Bagley,Bagley city,,
57631,,071000030702,,Hine Creek,Hine Creek,,,Weldon,Weldon city,,
57632,,071000050203,,East Branch Boone River,East Branch Boone River,,,Van Wert,Van Wert city,,
57633,,070802070202,,Galls Creek,Galls Creek,,,Pleasanton,Pleasanton city,,
57634,,070802070311,,Village of Alden-Iowa River,Village of Alden-Iowa River,,,Le Roy,Le Roy city,,
57635,,070802050902,,Poyner Creek,Poyner Creek,,,Leon,Leon city,,
57637,,070802051505,,Dry Creek,Dry Creek,,,Lamoni,Lamoni city,,
57638,,070802080805,,Little Bear Creek,Little Bear Creek,,,Grand River,Grand River city,,
57639,,070600060902,,Sugar Creek,Sugar Creek,,,Garden Grove,Garden Grove city,,
57641,,070802080702,,Otter Creek,Otter Creek,,,Decatur City,Decatur City city,,
57643,,070600061004,,Brush Creek,Brush Creek,,,Davis City,Davis City city,,
57644,,071000050503,,White Fox Creek,White Fox Creek,,,Eldridge,Eldridge city,,
57645,,070600060603,,Coffee Creek-North Fork Maquoketa River,Coffee Creek-North Fork Maquoketa River,,,Donahue,Donahue city,,
57646,,070802060102,,East Indian Creek-Indian Creek,East Indian Creek-Indian Creek,,,Dixon,Dixon city,,
57647,,070802060407,,Community of Buchanan-Cedar River,Community of Buchanan-Cedar River,,,Davenport,Davenport city,,
57648,,070801030607,,Wapsipinicon River,Wapsipinicon River,,,Buffalo,Buffalo city,,
57649,,070802090702,,Snyder Creek,Snyder Creek,,,Bettendorf,Bettendorf city,,
57650,,070802060803,,Pee Dee Creek-Cedar River,Pee Dee Creek-Cedar River,,,Walcott,Walcott city,,
57651,,070801030605,,McDonald Creek-Wapsipinicon River,McDonald Creek-Wapsipinicon River,,,Blue Grass,Blue Grass city,,
57652,,070802060502,,Middle Mud Creek,Middle Mud Creek,,,Pulaski,Pulaski city,,
57653,,070802060704,,East Branch Wapsinonoc Creek-Wapsinonoc Creek,East Branch Wapsinonoc Creek-Wapsinonoc Creek,,,Floris,Floris city,,
57654,,070802091104,,Otter Creek-Iowa River,Otter Creek-Iowa River,,,Drakesville,Drakesville city,,
57655,,070801030103,,Sibles Creek,Sibles Creek,,,Bloomfield,Bloomfield city,,
57656,,070801030403,,City of Toronto-Wapsipinicon River,City of Toronto-Wapsipinicon River,,,Westfield,Westfield city,,
57658,,070802020502,,Beaver Creek,Beaver Creek,,,Thurman,Thurman city,,
57659,,070801020901,,West Branch Buffalo Creek,West Branch Buffalo Creek,,,Sidney,Sidney city,,
57660,,070801010601,,Kickapoo Slu-Mississippi River,Kickapoo Slu-Mississippi River,,,Riverton,Riverton city,,
57661,,071000080102,,Middle Fourmile Creek,Middle Fourmile Creek,,,Randolph,Randolph city,,
57662,,071000040911,,Beaver Creek,Beaver Creek,,,Imogene,Imogene city,,
57663,,071000041002,,Rock Creek-Des Moines River,Rock Creek-Des Moines River,,,Hamburg,Hamburg city,,
57664,,071000040907,,Slough Creek,Slough Creek,,,Farragut,Farragut city,,
57665,,071000040910,,Royer Creek-Beaver Creek,Royer Creek-Beaver Creek,,,Shenandoah,Shenandoah city,,
57666,,071000040803,,Big Creek,Big Creek,,,Ruthven,Ruthven city,,
57667,,070801041204,,Flint Creek,Flint Creek,,,Rodman,Rodman city,,
57671,,070801070708,,Summer Creek-Cedar Creek,Summer Creek-Cedar Creek,,,Mallard,Mallard city,,
57678,,070802051201,,Opossum Creek,Opossum Creek,,,Graettinger,Graettinger city,,
57679,,070801041202,,Headwaters Flint Creek,Headwaters Flint Creek,,,Emmetsburg,Emmetsburg city,,
57680,,071000080101,,Upper Fourmile Creek,Upper Fourmile Creek,,,Cylinder,Cylinder city,,
57681,,071000041001,,Murphy Branch-Des Moines River,Murphy Branch-Des Moines River,,,Curlew,Curlew city,,
57683,,070801051105,,Thunder Creek,Thunder Creek,,,Ayrshire,Ayrshire city,,
57684,,070801070307,,Indian Creek-Skunk River,Indian Creek-Skunk River,,,Woodward,Woodward city,,
57685,,070600060901,,Headwaters Deep Creek,Headwaters Deep Creek,,,Waukee,Waukee city,,
57689,,070801050906,,Santiago Creek-South Skunk River,Santiago Creek-South Skunk River,,,Van Meter,Van Meter city,,
57690,,071000040802,,Little Creek,Little Creek,,,Redfield,Redfield city,,
57691,,071000040908,,Little Beaver Creek-Beaver Creek,Little Beaver Creek-Beaver Creek,,,Perry,Perry city,,
57692,,071000040707,,Richardson Branch-Des Moines River,Richardson Branch-Des Moines River,,,Minburn,Minburn city,,
57693,,071000040705,,Bear Creek,Bear Creek,,,Linden,Linden city,,
57694,,071000040906,,Beaver Branch-Beaver Creek,Beaver Branch-Beaver Creek,,,Dexter,Dexter city,,
57695,,071000040801,,Headwaters Big Creek,Headwaters Big Creek,,,Shell Rock,Shell Rock city,,
57696,,071000040904,,East Beaver Creek,East Beaver Creek,,,Tingley,Tingley city,,
57698,,070802050904,,Headwaters Miller Creek,Headwaters Miller Creek,,,Redding,Redding city,,
57702,,070600060408,,Jurdan Creek-Maquoketa River,Jurdan Creek-Maquoketa River,,,Mount Ayr,Mount Ayr city,,
57703,,070600060606,,Village of Cascade-North Fork Maquoketa River,Village of Cascade-North Fork Maquoketa River,,,Maloy,Maloy city,,
57705,,071000050402,,Headwaters Eagle Creek,Headwaters Eagle Creek,,,Kellerton,Kellerton city,,
57706,,071000030902,,Village of Livermore-East Fork Des Moines River,Village of Livermore-East Fork Des Moines River,,,Ellston,Ellston city,,
57707,,070801070206,,Crooked Creek,Crooked Creek,,,Valeria,Valeria city,,
57708,,070802080902,,Honey Creek,Honey Creek,,,Sully,Sully city,,
57711,,070802070801,,Hardin Story Drainage Ditch No 1,Hardin Story Drainage Ditch No 1,,,Reasnor,Reasnor city,,
57712,,071000060804,,Elk Run-North Raccoon River,Elk Run-North Raccoon River,,,Prairie City,Prairie City city,,
57713,,070802050808,,Devils Run-Wolf Creek,Devils Run-Wolf Creek,,,Oakland Acres,Oakland Acres city,,
57715,,070802081004,,Knapp Creek,Knapp Creek,,,Newton,Newton city,,
57717,,071000040905,,Headwaters Beaver Creek,Headwaters Beaver Creek,,,Monroe,Monroe city,,
57723,,070802080703,,Plague Creek-Iowa River,Plague Creek-Iowa River,,,Mingo,Mingo city,,
57724,,070801070904,,Brush Creek-Big Creek,Brush Creek-Big Creek,,,Lynnville,Lynnville city,,
57726,,070801050802,,Wolf Creek,Wolf Creek,,,Lambs Grove,Lambs Grove city,,
57728,,070802051102,,Hinkle Creek,Hinkle Creek,,,Kellogg,Kellogg city,,
57729,,070600060804,,Cedar Creek-North Fork Maquoketa River,Cedar Creek-North Fork Maquoketa River,,,Colfax,Colfax city,,
57730,,070600051201,,Beaver Creek-Mississippi River,Beaver Creek-Mississippi River,,,Baxter,Baxter city,,
57731,,070802051504,,Nelson Creek-Cedar River,Nelson Creek-Cedar River,,,Parkersburg,Parkersburg city,,
57732,,071000060903,,East Cedar Creek,East Cedar Creek,,,New Hartford,New Hartford city,,
57733,,070802040402,,West Fork County Park-West Fork Cedar River,West Fork County Park-West Fork Cedar River,,,Greene,Greene city,,
57734,,070801020401,,Upper Crane Creek,Upper Crane Creek,,,Dumont,Dumont city,,
57736,,070802080804,,Rock Creek,Rock Creek,,,Clarksville,Clarksville city,,
57737,,070801070601,,Headwaters Cedar Creek,Headwaters Cedar Creek,,,Bristow,Bristow city,,
57738,,070600060503,,Whitewater Creek,Whitewater Creek,,,Aredale,Aredale city,,
57739,,071000060604,,Drainage Ditch 10-Lake Creek,Drainage Ditch 10-Lake Creek,,,Aplington,Aplington city,,
57740,,070600060701,,Prairie Creek-Lytle Creek,Prairie Creek-Lytle Creek,,,Allison,Allison city,,
57741,,071000060803,,Prairie Creek,Prairie Creek,,,Yorktown,Yorktown city,,
57742,,071000060505,,Camp Creek,Camp Creek,,,Shambaugh,Shambaugh city,,
57743,,070802080203,,South Timber Creek,South Timber Creek,,,Northboro,Northboro city,,
57744,,070600060102,,Headwaters Plum Creek,Headwaters Plum Creek,,,St. Ansgar,St. Ansgar city,,
57745,,070802070901,,School Creek-Iowa River,School Creek-Iowa River,,,Osage,Osage city,,
57746,,070801020604,,Camp Creek-Wapsipinicon River,Camp Creek-Wapsipinicon River,,,Orchard,Orchard city,,
57747,,070801060204,,Village of Lynnville-North Skunk River,Village of Lynnville-North Skunk River,,,Mitchell,Mitchell city,,
57748,,071000061701,,Sugar Creek,Sugar Creek,,,McIntire,McIntire city,,
57749,,070801050701,,Headwaters Clear Creek,Headwaters Clear Creek,,,Carpenter,Carpenter city,,
57751,,071000050303,,Otter Creek,Otter Creek,,,West Point,West Point city,,
57752,,071000060303,,Lateral 6-North Raccoon River,Lateral 6-North Raccoon River,,,St. Paul,St. Paul city,,
57753,,070802080806,,Big Bear Creek,Big Bear Creek,,,Ventura,Ventura city,,
57754,,070600040505,,Frog Hollow,Frog Hollow,,,Thornton,Thornton city,,
57755,,071000061702,,Johnson Creek-Raccoon River,Johnson Creek-Raccoon River,,,Swaledale,Swaledale city,,
57756,,070801060206,,Stewart Cemetery-North Skunk River,Stewart Cemetery-North Skunk River,,,Rockwell,Rockwell city,,
57757,,070802080204,,Headwaters North Timber Creek,Headwaters North Timber Creek,,,Rock Falls,Rock Falls city,,
57758,,071000061301,,Headwaters Greenbrier Creek,Headwaters Greenbrier Creek,,,Denver,Denver city,,
57759,,070801070703,,Crow Creek,Crow Creek,,,Sumner,Sumner city,,
57760,,070801070706,,Village of Birminghan-Cedar Creek,Village of Birminghan-Cedar Creek,,,Janesville,Janesville city,,
57761,,070801010406,,Sugar Creek-Mississippi River,Sugar Creek-Mississippi River,,,Winfield,Winfield city,,
57762,,070600040605,,Cox Creek,Cox Creek,,,Westwood,Westwood city,,
57763,,070802020705,,Shell Rock River,Shell Rock River,,,Toledo,Toledo city,,
57764,,070802070305,,Bringham Park-Iowa River,Bringham Park-Iowa River,,,Tama,Tama city,,
57765,,070801020701,,Headwaters Otter Creek,Headwaters Otter Creek,,,Montour,Montour city,,
57766,,071000061302,,Greenbrier Creek,Greenbrier Creek,,,Lincoln,Lincoln city,,
57767,,070802080201,,Lutes Creek,Lutes Creek,,,Gladbrook,Gladbrook city,,
57768,,071000040701,,Skillet Creek,Skillet Creek,,,Garwin,Garwin city,,
57769,,070600060601,,Hewitt Creek,Hewitt Creek,,,Elberon,Elberon city,,
57770,,070801020903,,Village of Winthrop-Buffalo Creek,Village of Winthrop-Buffalo Creek,,,Dysart,Dysart city,,
57771,,071000050703,,Drainage Ditch 206,Drainage Ditch 206,,,Clutier,Clutier city,,
57772,,070802040601,,Parmentar Creek,Parmentar Creek,,,Winterset,Winterset city,,
57775,,070801050305,,Onion Creek,Onion Creek,,,Truro,Truro city,,
57776,,071000061005,,Hardin Creek,Hardin Creek,,,Montrose,Montrose city,,
57777,,070600051202,,Spring Lake-Mississippi River,Spring Lake-Mississippi River,,,Keokuk,Keokuk city,,
57778,,071000061401,,Otter Creek,Otter Creek,,,Houghton,Houghton city,,
57779,,071000040702,,Allen Creek-Des Moines River,Allen Creek-Des Moines River,,,Franklin,Franklin city,,
57780,,071000040605,,Crooked Creek,Crooked Creek,,,Fort Madison,Fort Madison city,,
57781,,071000040606,,Deception Hollow Public Fishing Site-Des Moines River,Deception Hollow Public Fishing Site-Des Moines River,,,Donnellson,Donnellson city,,
57782,,071000040504,,Brushy Creek,Brushy Creek,,,Sibley,Sibley city,,
57783,,070600061003,,Prairie Creek-Maquoketa River,Prairie Creek-Maquoketa River,,,Ocheyedan,Ocheyedan city,,
57784,,070802080101,,Headwaters Linn Creek,Headwaters Linn Creek,,,Melvin,Melvin city,,
57785,,070801050604,,East Indian Creek,East Indian Creek,,,Harris,Harris city,,
57786,,070801050501,,Drainage Ditch 5,Drainage Ditch 5,,,Ashton,Ashton city,,
57787,,070801050903,,Drainage Ditch 13-South Skunk River,Drainage Ditch 13-South Skunk River,,,Plymouth,Plymouth city,,
57788,,070801010402,,Cordova Slough-Mississippi River,Cordova Slough-Mississippi River,,,Meservey,Meservey city,,
57789,,070802051101,,Pratt Creek,Pratt Creek,,,Mason City,Mason City city,,
57790,,070600060706,,Lytle Creek,Lytle Creek,,,Dougherty,Dougherty city,,
57791,,070801020906,,Helmer Creek-Buffalo Creek,Helmer Creek-Buffalo Creek,,,Clear Lake,Clear Lake city,,
57793,,071000040603,,Prairie Creek,Prairie Creek,,,Wayland,Wayland city,,
57794,,071000040203,,Spring Creek,Spring Creek,,,Salem,Salem city,,
57795,,071000040604,,Gypsum Creek-Des Moines River,Gypsum Creek-Des Moines River,,,Rome,Rome city,,
57796,,071000040204,,Lower South Branch Lizard Creek,Lower South Branch Lizard Creek,,,Olds,Olds city,,
57797,,070801050402,,Miller Creek-South Skunk River,Miller Creek-South Skunk River,,,New London,New London city,,
57800,,070801070305,,Spanish Bridge Skunk River State Wildlife Area-Skunk River,Spanish Bridge Skunk River State Wildlife Area-Skunk River,,,Mount Union,Mount Union city,,
57801,,070600040607,,Bear Creek,Bear Creek,,,Mount Pleasant,Mount Pleasant city,,
57802,,070801070404,,Rocky Branch-Walnut Creek,Rocky Branch-Walnut Creek,,,Hillsboro,Hillsboro city,,
57804,,071000060308,,Drainage Ditch 101-North Raccoon River,Drainage Ditch 101-North Raccoon River,,,Chelsea,Chelsea city,,
57805,,071000040501,,Ditch No 4,Ditch No 4,,,St. Charles,St. Charles city,,
57806,,071000040602,,Holliday Creek,Holliday Creek,,,Patterson,Patterson city,,
57807,,071000040404,,Bradys Creek-Des Moines River,Bradys Creek-Des Moines River,,,Macksburg,Macksburg city,,
57808,,071000040503,,City of Vincent-Brushy Creek,City of Vincent-Brushy Creek,,,East Peru,East Peru city,,
57809,,070600040503,,Little Volga River,Little Volga River,,,Earlham,Earlham city,,
57810,,070600040709,,French Hollow-Turkey River,French Hollow-Turkey River,,,Searsboro,Searsboro city,,
57811,,070801020501,,Spring Creek-Little Wapsipinicon River,Spring Creek-Little Wapsipinicon River,,,Wellsburg,Wellsburg city,,
57812,,070802051405,,Prairie Creek,Prairie Creek,,,Stout,Stout city,,
57813,,070801070803,,Brush Creek,Brush Creek,,,Reinbeck,Reinbeck city,,
57814,,070801070804,,Mud Creek-Brush Creek,Mud Creek-Brush Creek,,,Morrison,Morrison city,,
57816,,071000020502,,Dry Ditch,Dry Ditch,,,Holland,Holland city,,
57822,,070802040501,,Drainage Ditch 6,Drainage Ditch 6,,,Grundy Center,Grundy Center city,,
57823,,070801041102,,Yellow Spring Creek,Yellow Spring Creek,,,Wapello,Wapello city,,
57824,,070600060208,,Sand Creek,Sand Creek,,,Oakville,Oakville city,,
57825,,071000040601,,Soldier Creek,Soldier Creek,,,Morning Sun,Morning Sun city,,
57826,,071000040303,,Lower Lizard Creek,Lower Lizard Creek,,,Letts,Letts city,,
57828,,070802010903,,Little Cedar River,Little Cedar River,,,Grandview,Grandview city,,
57832,,071000020302,,Silver Creek,Silver Creek,,,Fredonia,Fredonia city,,
57833,,071000040202,,Middle South Branch Lizard Creek,Middle South Branch Lizard Creek,,,Cotter,Cotter city,,
57834,,071000040403,,Badger Creek,Badger Creek,,,Columbus Junction,Columbus Junction city,,
57835,,071000040401,,Deer Creek,Deer Creek,,,Columbus City,Columbus City city,,
57836,,071000040104,,Lower North Branch Lizard Creek,Lower North Branch Lizard Creek,,,Ottumwa,Ottumwa city,,
57837,,071000040402,,Bass Creek-Des Moines River,Bass Creek-Des Moines River,,,Kirkville,Kirkville city,,
57838,,071000040201,,Upper South Branch Lizard Creek,Upper South Branch Lizard Creek,,,Eldon,Eldon city,,
57841,,070802030202,,Crane Creek,Crane Creek,,,Chillicothe,Chillicothe city,,
57843,,070600060903,,Copper Creek,Copper Creek,,,Blakesburg,Blakesburg city,,
57847,,070802070903,,Bear Creek,Bear Creek,,,Agency,Agency city,,
57848,,070801021001,,Walton Creek-Wapsipinicon River,Walton Creek-Wapsipinicon River,,,Montezuma,Montezuma city,,
57849,,070802070701,,Headwaters Honey Creek,Headwaters Honey Creek,,,Malcom,Malcom city,,
57850,,070801051002,,Elk Creek,Elk Creek,,,Hartwick,Hartwick city,,
57853,,071000030804,,Village of Irvington-East Fork Des Moines River,Village of Irvington-East Fork Des Moines River,,,Guernsey,Guernsey city,,
57854,,070600040707,,Bell Creek-Turkey River,Bell Creek-Turkey River,,,Grinnell,Grinnell city,,
57857,,070801051208,,South Skunk River,South Skunk River,,,Deep River,Deep River city,,
57859,,070801070303,,Richland Creek,Richland Creek,,,Brooklyn,Brooklyn city,,
57860,,071000020901,,Drainage Ditch 7-Des Moines River,Drainage Ditch 7-Des Moines River,,,Victor,Victor city,,
57861,,071000050102,,Headwaters Prairie Creek,Headwaters Prairie Creek,,,Dike,Dike city,,
57863,,071000020301,,Drainage Ditch 62-Silver Creek,Drainage Ditch 62-Silver Creek,,,Conrad,Conrad city,,
57864,,071000030801,,Purcell Creek,Purcell Creek,,,Beaman,Beaman city,,
57865,,070600060206,,Sand Hagen Creek-Maquoketa River,Sand Hagen Creek-Maquoketa River,,,Eddyville,Eddyville city,,
57866,,070802050204,,Gran Creek-Beaver Creek,Gran Creek-Beaver Creek,,,West Union,West Union city,,
57867,,070802050102,,Headwaters South Beaver Creek,Headwaters South Beaver Creek,,,Westgate,Westgate city,,
57868,,070801050101,,Headwaters Drainage Ditch 71,Headwaters Drainage Ditch 71,,,Waucoma,Waucoma city,,
57869,,070802070603,,Middle South Fork Iowa River,Middle South Fork Iowa River,,,Wadena,Wadena city,,
57872,,071000061504,,Village of Minburn-North Raccoon River,Village of Minburn-North Raccoon River,,,St. Lucas,St. Lucas city,,
57874,,071000060306,,Lateral 3-North Raccoon River,Lateral 3-North Raccoon River,,,Randalia,Randalia city,,
57875,,071000040102,,Upper North Branch Lizard Creek,Upper North Branch Lizard Creek,,,Oelwein,Oelwein city,,
57876,,071000040101,,Headwaters North Branch Lizard Creek,Headwaters North Branch Lizard Creek,,,Maynard,Maynard city,,
57880,,070801060403,,Village of New Sharon-North Skunk River,Village of New Sharon-North Skunk River,,,Hawkeye,Hawkeye city,,
57881,,070801060301,,Headwaters Middle Creek,Headwaters Middle Creek,,,Fayette,Fayette city,,
57882,,070801060404,,Pleasant Creek-North Skunk River,Pleasant Creek-North Skunk River,,,Elgin,Elgin city,,
57883,,071000081509,,Wallingslock Creek-Des Moines River,Wallingslock Creek-Des Moines River,,,Clermont,Clermont city,,
57887,,070600040404,,Dry Mill Creek,Dry Mill Creek,,,Arlington,Arlington city,,
57888,,070802020403,,Coldwater Creek,Coldwater Creek,,,Wyoming,Wyoming city,,
57889,,071000020804,,Drainage Ditch 17-Des Moines River,Drainage Ditch 17-Des Moines River,,,Oxford Junction,Oxford Junction city,,
57891,,070802070301,,Luicks Creek,Luicks Creek,,,Onslow,Onslow city,,
57892,,071000060301,,Headwaters North Raccoon River,Headwaters North Raccoon River,,,Olin,Olin city,,
57893,,070801020402,,Middle Crane Creek,Middle Crane Creek,,,Morley,Morley city,,
57894,,071000050602,,Drainage Ditch 9,Drainage Ditch 9,,,Monticello,Monticello city,,
57905,,070802080401,,Asher Creek,Asher Creek,,,Martelle,Martelle city,,
57907,,070600060404,,West Kitty Creek,West Kitty Creek,,,Center Junction,Center Junction city,,
57908,,071000061003,,East Fork Hardin Creek,East Fork Hardin Creek,,,Anamosa,Anamosa city,,
57910,,070801010605,,Fourth Slough-Mississippi River,Fourth Slough-Mississippi River,,,Riceville,Riceville city,,
57911,,070801060503,,Cedar Creek,Cedar Creek,,,Lime Springs,Lime Springs city,,
57912,,070600040705,,Fitzgerald Creek-Turkey River,Fitzgerald Creek-Turkey River,,,Elma,Elma city,,
57916,,070802040202,,Headwaters Beaverdam Creek,Headwaters Beaverdam Creek,,,Cresco,Cresco city,,
57917,,070802070204,,Drainage Ditch No 9-East Branch Iowa River,Drainage Ditch No 9-East Branch Iowa River,,,Chester,Chester city,,
57918,,070600040704,,Dibble Creek,Dibble Creek,,,Protivin,Protivin city,,
57919,,070600060502,,Johns Creek,Johns Creek,,,Willey,Willey city,,
57920,,070600050205,,Little Menominee River-Mississippi River,Little Menominee River-Mississippi River,,,Templeton,Templeton city,,
57923,,070802040603,,Kilson Creek,Kilson Creek,,,Scranton,Scranton city,,
57924,,070802020701,,Dry Creek,Dry Creek,,,Rippey,Rippey city,,
57925,,070600050202,,Frentress Lake-Mississippi River,Frentress Lake-Mississippi River,,,Paton,Paton city,,
57926,,071000061102,,East Buttrick Creek,East Buttrick Creek,,,Kimballton,Kimballton city,,
57928,,070801050306,,Lundys Creek-Squaw Creek,Lundys Creek-Squaw Creek,,,Gray,Gray city,,
57929,,070600060410,,Pine Creek-Maquoketa River,Pine Creek-Maquoketa River,,,Exira,Exira city,,
57933,,070801070101,,Upper West Fork Crooked Creek,Upper West Fork Crooked Creek,,,Brayton,Brayton city,,
57934,,070801060302,,Middle Creek,Middle Creek,,,Audubon,Audubon city,,
57935,,070801051207,,Rock Creek,Rock Creek,,,Woden,Woden city,,
57936,,070801070204,,East Fork Crooked Creek,East Fork Crooked Creek,,,Klemme,Klemme city,,
57937,,070801051205,,Sugar Creek,Sugar Creek,,,Kanawha,Kanawha city,,
57945,,070801070603,,Buckeye Creek,Buckeye Creek,,,Goodell,Goodell city,,
57947,,070801051206,,Matrix Branch-South Skunk River,Matrix Branch-South Skunk River,,,Garner,Garner city,,
57949,,070600040901,,South Cedar Creek,South Cedar Creek,,,Forest City,Forest City city,,
57950,,070801070802,,Shawnee Creek-Skunk Rvier,Shawnee Creek-Skunk Rvier,,,Stanley,Stanley city,,
57951,,070801070202,,Phillips Creek,Phillips Creek,,,Fairbank,Fairbank city,,
57953,,070802020401,,Headwaters Coldwater Creek,Headwaters Coldwater Creek,,,Spillville,Spillville city,,
57954,,071000050301,,West Otter Creek,West Otter Creek,,,Ridgeway,Ridgeway city,,
57956,,070802020402,,Palmer Creek,Palmer Creek,,,Ossian,Ossian city,,
57957,,070802011102,,Baskins Run,Baskins Run,,,Jackson Junction,Jackson Junction city,,
57958,,070802011101,,Headwaters Quarter Section Run,Headwaters Quarter Section Run,,,Ryan,Ryan city,,
57975,,070802011005,,Bloody Run-Cedar River,Bloody Run-Cedar River,,,Varina,Varina city,,
57976,,070801020503,,Village of Oran-Little Wapsipinicon River,Village of Oran-Little Wapsipinicon River,,,Rolfe,Rolfe city,,
57977,,070802040604,,Feddeke Creek,Feddeke Creek,,,Pocahontas,Pocahontas city,,
57978,,071000090303,,Inghram Branch,Inghram Branch,,,Plover,Plover city,,
57979,,070802080507,,Salt Creek,Salt Creek,,,Palmer,Palmer city,,
57980,,070600060403,,Deer Creek,Deer Creek,,,Laurens,Laurens city,,
57981,,070802050803,,Village of Conrad-Wolf Creek,Village of Conrad-Wolf Creek,,,Havelock,Havelock city,,
57982,,070801050405,,Keigley Branch,Keigley Branch,,,Fonda,Fonda city,,
57983,,070802050201,,Headwaters Beaver Creek,Headwaters Beaver Creek,,,Gilmore City,Gilmore City city,,
57985,,070801070201,,Headwaters East Fork Crooked Creek,Headwaters East Fork Crooked Creek,,,Manning,Manning city,,
57986,,070802070308,,Drainage Ditch No 7-Iowa River,Drainage Ditch No 7-Iowa River,,,Lidderdale,Lidderdale city,,
57987,,070600030601,,Middle Fork Little Maquoketa River,Middle Fork Little Maquoketa River,,,Lanesboro,Lanesboro city,,
57988,,070802070501,,Headwaters Beaver Creek,Headwaters Beaver Creek,,,Halbur,Halbur city,,
57989,,071000060902,,West Cedar Creek,West Cedar Creek,,,Glidden,Glidden city,,
57990,,071000060901,,Welshs Slough,Welshs Slough,,,Dedham,Dedham city,,
57991,,070600060210,,Allison Creek-Maquoketa River,Allison Creek-Maquoketa River,,,Carroll,Carroll city,,
57992,,070801050201,,Headwaters-South Skunk River,Headwaters-South Skunk River,,,Breda,Breda city,,
57993,,071000060603,,Drainage Ditch 13-Lake Creek,Drainage Ditch 13-Lake Creek,,,Arcadia,Arcadia city,,
57995,,071000050604,,Drainage Ditch 4-Boone River,Drainage Ditch 4-Boone River,,,Coon Rapids,Coon Rapids city,,
57997,,070802040606,,McClure Creek,McClure Creek,,,Ralston,Ralston city,,
57998,,071000060305,,Poor Farm Creek,Poor Farm Creek,,,Jefferson,Jefferson city,,
58001,,070600040604,,Nagle Creek-Volga River,Nagle Creek-Volga River,,,Grand Junction,Grand Junction city,,
58002,,070600060405,,Kitty Creek,Kitty Creek,,,Dana,Dana city,,
58003,,071000030802,,Drainage Ditch 51-East Fork Des Moines River,Drainage Ditch 51-East Fork Des Moines River,,,Churdan,Churdan city,,
58004,,070802080504,,Stein Creek,Stein Creek,,,Walnut,Walnut city,,
58005,,071000060701,,Headwaters Purgatory Creek,Headwaters Purgatory Creek,,,Underwood,Underwood city,,
58006,,070802050505,,Village of Reinbeck-Black Hawk Creek,Village of Reinbeck-Black Hawk Creek,,,Treynor,Treynor city,,
58008,,071000050202,,Middle Branch Boone River,Middle Branch Boone River,,,Crystal Lake,Crystal Lake city,,
58009,,071000050103,,Drainage Ditch 116-Prairie Creek,Drainage Ditch 116-Prairie Creek,,,Corwith,Corwith city,,
58010,,070600060703,,Buncombe Creek,Buncombe Creek,,,Britt,Britt city,,
58011,,070600040608,,Doe Creek-Volga River,Doe Creek-Volga River,,,Fort Atkinson,Fort Atkinson city,,
58012,,070802050809,,Wolf Creek,Wolf Creek,,,Decorah,Decorah city,,
58013,,070600050204,,Tetes Des Morts Creek,Tetes Des Morts Creek,,,Castalia,Castalia city,,
58014,,070600050102,,Catfish Creek,Catfish Creek,,,Calmar,Calmar city,,
58015,,070600030604,,Lower Little Maquoketa River,Lower Little Maquoketa River,,,Masonville,Masonville city,,
58016,,070600061007,,Maquoketa River,Maquoketa River,,,Manchester,Manchester city,,
58017,,070801040601,,Iowa Slough,Iowa Slough,,,Hopkinton,Hopkinton city,,
58018,,070801010404,,McCarty Creek-Mississippi River,McCarty Creek-Mississippi River,,,Greeley,Greeley city,,
58019,,070802011004,,Gizzard Creek,Gizzard Creek,,,Edgewood,Edgewood city,,
58021,,071000030703,,Drainage Ditch 79-Lotts Creek,Drainage Ditch 79-Lotts Creek,,,Earlville,Earlville city,,
58023,,070802020604,,Drainage Ditch 20-Shell Rock River,Drainage Ditch 20-Shell Rock River,,,Dyersville,Dyersville city,,
58025,,070801020904,,Silver Creek-Buffalo Creek,Silver Creek-Buffalo Creek,,,Dundee,Dundee city,,
58026,,070600060103,,Plum Creek,Plum Creek,,,Delhi,Delhi city,,
58027,,071000060503,,West Fork Camp Creek,West Fork Camp Creek,,,Delaware,Delaware city,,
58035,,070801051104,,Carson Creek-South Skunk River,Carson Creek-South Skunk River,,,Colesburg,Colesburg city,,
