OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
243094,,070600011001,,Picatee Creek-Mississippi River,Picatee Creek-Mississippi River,,,,,,
243095,,070600010906,,Lower Yellow River,Lower Yellow River,,,,,,
243096,,070600020402,,Community of Nordness,Community of Nordness,,,,,,
243097,,070600020403,,Trout Creek,Trout Creek,,,,,,
243098,,070600020405,,Trout Creek-Trout River,Trout Creek-Trout River,,,,,,
243099,,070801020103,,Spring Branch-Little Wapsipinicon River,Spring Branch-Little Wapsipinicon River,,,,,,
243100,,070600040701,,Dry Branch,Dry Branch,,,,,,
243101,,070801020301,,Upper East Branch Wapsipinicon River,Upper East Branch Wapsipinicon River,,,,,,
243102,,070802011001,,Skunk Creek-Cedar River,Skunk Creek-Cedar River,,,,,,
243103,,070600040306,,Wonder Creek,Wonder Creek,,,,,,
243104,,070600040202,,Upper Little Turkey River,Upper Little Turkey River,,,,,,
243105,,070600040103,,Village of Lawler-Crane Creek,Village of Lawler-Crane Creek,,,,,,
243338,,070600010102,,Upper Coon Creek,Upper Coon Creek,,,,,,
243339,,070600010501,,Mormon Creek,Mormon Creek,,,,,,
243340,,070600010502,,Chipmunk Creek,Chipmunk Creek,,,,,,
243472,,070600010103,,Middle Coon Creek,Middle Coon Creek,,,,,,
243473,,070600010104,,Lower Coon Creek,Lower Coon Creek,,,,,,
243474,,070600010302,,Pumpkin Ridge-North Fork Bad Axe River,Pumpkin Ridge-North Fork Bad Axe River,,,,,,
243475,,070600010305,,North Fork Bad Axe River,North Fork Bad Axe River,,,,,,
243476,,070600010301,,Springville Branch of the Bad Axe River,Springville Branch of the Bad Axe River,,,,,,
243477,,070600010304,,Side Hollow Lake-South Fork Bad Axe River,Side Hollow Lake-South Fork Bad Axe River,,,,,,
243478,,070600010306,,South Fork Bad Axe River,South Fork Bad Axe River,,,,,,
243479,,070600010307,,Bad Axe River,Bad Axe River,,,,,,
243480,,070600010303,,Hornby Creek,Hornby Creek,,,,,,
243481,,070600010701,,Rush Creek,Rush Creek,,,,,,
243482,,070600010703,,Sugar Creek,Sugar Creek,,,,,,
243483,,070600010704,,Copper Creek,Copper Creek,,,,,,
243484,,070802020203,,Village of Northwood-Shell Rock River,Village of Northwood-Shell Rock River,,,,,,
243485,,070600040301,,North Branch Turkey River,North Branch Turkey River,,,,,,
243486,,070802010601,,Turtle Creek,Turtle Creek,,,,,,
243487,,070801020202,,Watsons Creek-Wapsipinicon River,Watsons Creek-Wapsipinicon River,,,,,,
243488,,070802010802,,Beaver Creek-Little Cedar River,Beaver Creek-Little Cedar River,,,,,,
243489,,070600040101,,Headwaters Crane Creek,Headwaters Crane Creek,,,,,,
243490,,070802020303,,Village of Plymouth-Shell Rock River,Village of Plymouth-Shell Rock River,,,,,,
243491,,070802010603,,Headwaters Rock Creek,Headwaters Rock Creek,,,,,,
243492,,070802020301,,Beaver Creek,Beaver Creek,,,,,,
243493,,070802010602,,Spring Creek,Spring Creek,,,,,,
243494,,070600040305,,Otter Creek-Turkey River,Otter Creek-Turkey River,,,,,,
243495,,070600010602,,Village Creek,Village Creek,,,,,,
243496,,070600010601,,Headwaters Village Creek,Headwaters Village Creek,,,,,,
243497,,070802030303,,Wharam Creek,Wharam Creek,,,,,,
243498,,070600040102,,Spring Creek-Crane Creek,Spring Creek-Crane Creek,,,,,,
243499,,070802030108,,Beaver Creek,Beaver Creek,,,,,,
243500,,070802030304,,Spring Creek,Spring Creek,,,,,,
243501,,070802010604,,Rock Creek,Rock Creek,,,,,,
243502,,070600040201,,Headwaters Little Turkey River,Headwaters Little Turkey River,,,,,,
243503,,070600020407,,Coon Creek-Upper Iowa River,Coon Creek-Upper Iowa River,,,,,,
