OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
46823,,070801020702,,Frye Lake-Camp Creek,Hazleton Creek-Otter Creek,Audubon,Audubon County,Washington,Washington city,,
46824,,070600040603,,Deer Lick Branch-Eliza Creek,Hewett Creek,Cass,Cass County,Riverside,Riverside city,,
46825,,071000090705,,Town of Andover-Camp Creek,South Avery Creek,Adair,Adair County,Kalona,Kalona city,,
46831,,071000090302,,Meredosa Ditch,Bleubaugh Branch,Carroll,Carroll County,Crawfordsville,Crawfordsville city,,
46838,,070802090901,,Headwaters South Henderson Creek,North Fork Long Creek,Johnson,Johnson County,Brighton,Brighton city,,
46843,,070802090902,,South Henderson Creek,South Fork Long Creek,Jefferson,Jefferson County,Ainsworth,Ainsworth city,,
46845,,070801030502,,Henderson Creek,Brophy Creek,Wapello,Wapello County,Sharpsburg,Sharpsburg city,,
46847,,070802090201,,Headwaters Cedar Creek,Headwaters Old Mans Creek,Van Buren,Van Buren County,Woolstock,Woolstock city,,
56866,,070802091103,,Coon Creek,Smith Creek,Appanoose,Appanoose County,Rowan,Rowan city,,
56868,,070802090904,,South White Breast Creek,Buffington Creek,Madison,Madison County,Goldfield,Goldfield city,,
56869,,070801030203,,Brush Creek,West Goose Lake-Wapsipinicon River,Muscatine,Muscatine County,Walford,Walford city,,
56870,,070802060402,,Headwaters White Breast Creek,Clear Creek,Clinton,Clinton County,Vinton,Vinton city,,
56871,,070802060703,,Heatons Creek-Wapsipinicon River,Big Slough,Jackson,Jackson County,Van Horne,Van Horne city,,
56872,,070802060503,,Farm Creek,Lower Mud Creek,Wayne,Wayne County,Volga,Volga city,,
56874,,070802090405,,Crooked Slough-Mississippi River,Devils Run,Calhoun,Calhoun County,Strawberry Point,Strawberry Point city,,
56875,,070801020603,,Curran Creek-Whitewater Creek,Bruggeman County Park-Wapsipinicon River,,,St. Olaf,St. Olaf city,,
56876,,071000041003,,Pine Creek-Iowa River,Saylor Creek-Des Moines River,,,Osterdock,Osterdock city,,
56877,,071000081502,,Bear Creek-Cedar River,Mud Creek,,,North Buena Vista,North Buena Vista city,,
56881,,070802050906,,Spring Creek,Sink Creek-Cedar River,,,Monona,Monona city,,
56882,,070802050402,,Stephens State Forest-White Breast Creek,Headwaters North Fork Black Hawk Creek,,,Millville,Millville city,,
