GRIDCODE,C_D,nodata,B_D,C,B,A,D,A_D,total
6947612,1.04829e+07,491384,8.35354e+06,1.47415e+06,1.86726e+07,1.96554e+06,0,0,4.14401e+07
6948958,3.2759e+06,0,3.76728e+06,491384,1.47415e+06,655179,0,0,9.66389e+06
6948974,5.56902e+06,163795,5.89661e+06,0,3.76728e+06,0,0,0,1.53967e+07
6949000,2.29313e+06,0,5.24143e+06,982769,1.80174e+06,163795,0,0,1.04829e+07
13312439,1.16294e+07,163795,3.43969e+06,5.73282e+06,1.09743e+07,0,655179,0,3.25952e+07
13371963,4.91384e+06,0,2.12933e+06,982769,2.29313e+06,0,327590,0,1.06467e+07
13312231,5.24143e+06,163795,1.96554e+06,2.62072e+06,8.35353e+06,327590,327590,0,1.90002e+07
13313413,2.29313e+07,0,1.06467e+07,7.20697e+06,1.32674e+07,491384,0,0,5.45437e+07
6947538,4.42246e+06,0,2.62072e+06,1.14656e+06,6.06041e+06,0,0,0,1.42501e+07
13313413,2.29313e+07,0,1.06467e+07,7.20697e+06,1.32674e+07,491384,0,0,5.45437e+07
6947500,1.47415e+06,0,163795,327590,3.1121e+06,818974,163795,0,6.06041e+06
6948870,4.58625e+06,0,4.75005e+06,163795,7.86215e+06,327590,0,0,1.76898e+07
13311995,818974,982769,982769,7.04318e+06,6.2242e+06,163795,0,0,1.62157e+07
13311309,6.06041e+06,163795,9.99148e+06,9.82769e+06,1.39226e+07,1.80174e+06,327590,0,4.20953e+07
13311165,1.14656e+06,0,982769,0,2.29313e+06,0,163795,0,4.58625e+06
13311469,6.71559e+06,0,4.42246e+06,2.45692e+06,3.1121e+06,491384,491384,0,1.76898e+07
13311469,6.71559e+06,0,4.42246e+06,2.45692e+06,3.1121e+06,491384,491384,0,1.76898e+07
13309147,0,818974,0,1.31036e+06,163795,0,163795,0,2.45692e+06
13309159,491384,4.09487e+06,3.43969e+06,3.24314e+07,2.78451e+06,0,1.96554e+06,0,4.52074e+07
6561075,9.00872e+06,0,1.1957e+07,655179,4.09487e+06,0,163795,0,2.58796e+07
7016397,1.03191e+07,0,6.87938e+06,818974,5.40523e+06,0,0,0,2.34227e+07
7016413,5.40523e+06,163795,4.58625e+06,655179,3.1121e+06,163795,0,0,1.40864e+07
7016175,3.43969e+06,0,2.94831e+06,1.47415e+06,1.96554e+06,0,0,0,9.82769e+06
22472329,1.2776e+07,0,491384,4.42246e+06,163795,0,0,0,1.78536e+07
2166195,2.29313e+06,0,655179,327590,3.43969e+06,0,0,0,6.71559e+06
2166185,2.48968e+07,0,2.19485e+07,3.43969e+06,3.68538e+07,163795,0,0,8.73026e+07
2166155,2.26037e+07,0,2.11295e+07,3.2759e+06,3.07934e+07,163795,0,0,7.79663e+07
2166049,327590,0,0,1.80174e+06,0,0,0,0,2.12933e+06
2166057,1.60519e+07,655179,7.53456e+06,1.53967e+07,1.44139e+07,0,163795,0,5.42161e+07
2165929,2.17847e+07,163795,2.12933e+07,3.93108e+06,1.93278e+07,0,163795,0,6.66645e+07
2165929,2.17847e+07,163795,2.12933e+07,3.93108e+06,1.93278e+07,0,163795,0,6.66645e+07
2166027,2.21123e+07,327590,1.78536e+07,3.76728e+06,2.37502e+07,655179,0,818974,6.92852e+07
2166027,2.21123e+07,327590,1.78536e+07,3.76728e+06,2.37502e+07,655179,0,818974,6.92852e+07
2166027,2.21123e+07,327590,1.78536e+07,3.76728e+06,2.37502e+07,655179,0,818974,6.92852e+07
2165783,1.39226e+07,0,6.2242e+06,1.31036e+06,2.78451e+06,1.96554e+06,0,2.12933e+06,2.83365e+07
2165827,1.70347e+07,0,1.31036e+06,1.3595e+07,3.1121e+06,163795,491384,0,3.57073e+07
3701840,9.3363e+06,0,0,1.52329e+07,0,0,982769,0,2.5552e+07
6621574,1.65433e+07,0,0,1.80174e+06,1.09743e+07,0,0,0,2.93193e+07
6571212,8.02594e+06,0,0,1.13018e+07,1.14656e+06,0,163795,0,2.06381e+07
6571266,2.94831e+06,0,0,2.78451e+06,163795,0,0,0,5.89661e+06
22475201,5.73282e+06,0,0,1.44139e+07,0,0,0,0,2.01468e+07
22474885,5.24143e+06,0,0,9.5001e+06,0,0,0,0,1.47415e+07
22476751,2.12933e+07,0,0,2.09657e+07,163795,0,163795,0,4.25866e+07
22474617,1.16294e+07,0,491384,1.32674e+07,327590,0,0,0,2.57158e+07
22474395,7.04318e+06,0,0,9.66389e+06,0,0,0,0,1.67071e+07
22474395,7.04318e+06,0,0,9.66389e+06,0,0,0,0,1.67071e+07
22474443,6.71559e+06,0,0,1.01553e+07,327590,0,0,0,1.71985e+07
22471839,9.99148e+06,0,2.45692e+06,1.31036e+06,1.03191e+07,163795,655179,163795,2.50606e+07
22471791,7.86215e+06,0,327590,1.80174e+06,1.47415e+06,0,0,0,1.14656e+07
6621308,1.96554e+06,0,0,2.81727e+07,0,163795,1.63795e+06,0,3.194e+07
6620330,2.78451e+06,0,163795,9.17251e+06,163795,491384,327590,0,1.31036e+07
6570308,2.50606e+07,0,1.29398e+07,1.31036e+06,7.53456e+06,0,163795,0,4.70091e+07
6572222,3.93108e+06,0,0,7.69836e+06,1.63795e+06,0,0,0,1.32674e+07
7005596,8.35353e+06,163795,0,1.68709e+07,3.43969e+06,0,1.98192e+07,0,4.86471e+07
7003494,2.4733e+07,0,0,9.17251e+06,0,0,491384,0,3.43969e+07
7002950,1.40864e+07,0,0,8.35353e+06,0,0,2.29313e+06,0,2.4733e+07
13309903,327590,327590,655179,327590,163795,0,0,0,1.80174e+06
6946550,3.76728e+06,0,4.58625e+06,0,4.09487e+06,0,0,0,1.24484e+07
13309741,5.56902e+06,163795,2.94831e+06,2.78451e+06,1.31036e+06,163795,327590,0,1.32674e+07
13337846,2.29313e+06,0,3.43969e+06,6.71559e+06,8.35353e+06,327590,1.31036e+06,0,2.24399e+07
13337736,1.31036e+06,0,2.45692e+06,2.94831e+06,6.2242e+06,327590,327590,0,1.3595e+07
13335926,2.78451e+06,0,3.76728e+06,655179,3.2759e+06,163795,0,0,1.06467e+07
17226743,491384,0,0,2.35865e+07,1.80174e+07,0,0,0,4.20953e+07
17227325,491384,0,0,1.08105e+07,982769,0,0,0,1.22846e+07
17226247,327590,0,0,2.94831e+06,163795,0,491384,0,3.93108e+06
17226559,163795,163795,0,2.62072e+06,0,0,0,0,2.94831e+06
17226743,491384,0,0,2.35865e+07,1.80174e+07,0,0,0,4.20953e+07
17226163,3.93108e+06,163795,0,9.82769e+06,163795,0,163795,0,1.42501e+07
17225949,2.29313e+06,163795,0,1.06467e+07,491384,0,982769,0,1.45777e+07
17226083,2.94831e+06,0,0,1.08105e+07,818974,0,0,0,1.45777e+07
17226139,3.60349e+06,163795,0,1.14656e+07,0,0,0,0,1.52329e+07
17225881,655179,0,0,491384,0,0,0,0,1.14656e+06
14623124,1.37588e+07,0,0,2.89917e+07,163795,0,491384,0,4.34056e+07
14623164,1.3595e+07,0,0,4.42246e+07,2.45692e+06,327590,1.14656e+06,0,6.17506e+07
14623218,5.40523e+06,163795,0,3.1121e+07,982769,163795,491384,0,3.8328e+07
11917753,8.35354e+06,163795,0,2.14571e+07,163795,0,4.58625e+06,0,3.47245e+07
11915761,3.93108e+06,163795,0,9.5001e+06,491384,0,655179,0,1.47415e+07
11916775,7.69836e+06,818974,0,1.29398e+07,0,0,327590,0,2.17847e+07
11917143,5.07764e+06,163795,0,1.34312e+07,491384,0,818974,0,1.9983e+07
11915341,7.37077e+06,0,0,1.9983e+07,0,0,818974,0,2.81727e+07
17543097,2.94831e+06,0,0,7.53456e+06,655179,163795,327590,0,1.16294e+07
17542381,655179,0,0,655179,491384,0,0,0,1.80174e+06
17542441,982769,0,0,1.29398e+07,2.29313e+06,327590,0,0,1.65433e+07
17542479,2.12933e+06,0,0,1.76898e+07,2.29313e+06,327590,0,0,2.24399e+07
17542973,4.58625e+06,0,0,1.67071e+07,0,0,1.63795e+06,0,2.29313e+07
13374191,0,163795,0,6.06041e+06,1.14656e+06,327590,1.63795e+06,0,9.3363e+06
13360784,0,0,0,6.2242e+06,5.40523e+06,0,2.45692e+06,0,1.40864e+07
13373513,0,163795,0,1.49053e+07,3.2759e+06,0,1.14656e+06,0,1.94916e+07
7003524,7.37077e+06,2.29313e+06,0,7.20697e+06,655179,0,1.22846e+07,0,2.98107e+07
7002982,7.04318e+06,163795,0,1.09743e+07,491384,0,4.09487e+06,0,2.27675e+07
11915549,1.47415e+06,0,0,3.1121e+06,0,0,163795,0,4.75005e+06
11915491,4.09487e+06,491384,0,9.3363e+06,0,0,491384,0,1.44139e+07
17540537,3.43969e+06,491384,0,5.89661e+06,0,0,0,0,9.82769e+06
14795281,1.96554e+06,0,655179,1.40864e+07,5.24143e+06,327590,0,0,2.22761e+07
14794679,1.31036e+06,327590,0,2.94831e+06,5.24143e+06,327590,0,0,1.01553e+07
14794859,3.2759e+06,818974,0,8.68112e+06,3.76728e+06,2.45692e+06,0,0,1.90002e+07
6950588,5.73282e+06,0,1.63795e+06,5.89661e+06,1.26122e+07,2.62072e+06,491384,0,2.89917e+07
13377127,1.96554e+06,163795,0,1.52329e+07,5.24143e+06,163795,655179,0,2.34227e+07
