comid,rusle_sum,rusle_majority,rusle_mean,counts
13373197,1.82284e+06,1541,896.111,14728
13372829,1.45077e+06,343,363.979,36178
13372039,1.29085e+06,288,251.807,32233
13372107,2.35546e+06,777,784.787,53457
6947598,1.5811e+06,792,740.72,37128
6947610,2.06672e+06,914,887.117,50542
6947612,1.94374e+06,994,863.415,45692
6948958,384925,100,174.44,11037
6948974,579198,42,63.6495,17078
6949000,413671,327,296.28,11536
13312439,2.03404e+06,427,442.98,35723
13371963,496184,36,42.0887,11789
13312231,1.23247e+06,301,420.767,20905
13313413,2.84102e+06,879,903.856,59771
6947538,739928,287,285.891,15915
13313413,2.84102e+06,879,903.856,59771
6947500,329946,120,98.2119,6718
6948870,803275,697,551.432,19340
13311995,2.68464e+06,611,934.982,18068
13311309,3.61812e+06,1237,1300.12,46760
13311165,230521,60,49.7241,4636
13311469,847013,250,263.892,19961
13311469,847013,250,263.892,19961
13309147,526781,417,193.598,2721
13309159,5.71282e+06,2856,2218.2,50402
6561075,1.08607e+06,335,421.476,28735
7016397,678977,61,129.535,25961
7016413,457329,1,29.5432,15480
7016175,365064,28,64.9389,10444
22472329,704940,78,112.373,20079
2166195,442892,150,192.996,7450
2166185,4.83582e+06,803,769.602,98223
2166155,4.15706e+06,555,502.278,87979
2166049,182023,73,77.5887,2346
2166057,2.80318e+06,863,701.019,59718
2165929,3.04366e+06,37,41.4335,73459
2165929,3.04366e+06,37,41.4335,73459
2166027,3.38102e+06,198,168.053,76475
2166027,3.38102e+06,198,168.053,76475
2166027,3.38102e+06,198,168.053,76475
2165783,1.02113e+06,287,382.329,31795
2165827,1.78062e+06,444,447.401,39441
3701840,3.603e+06,326,824.502,27852
6621574,1.46953e+06,22,45.5443,32266
6571212,1.61008e+06,140,130.478,23017
6571266,376583,95,124.728,6408
22475201,1.71656e+06,566,548.585,22232
22474885,1.06102e+06,350,322.308,16359
22476751,2.32334e+06,380,364.947,46308
22474617,1.54855e+06,960,776.132,28699
22474395,1.1634e+06,570,564.962,18929
22474395,1.1634e+06,570,564.962,18929
22474443,931937,560,373.842,18952
22471839,1.41297e+06,332,443.519,28355
22471791,559467,167,135.048,12226
6621308,6.6504e+06,3441,2736.67,35974
6620330,1.44162e+06,451,797.99,13936
6570308,1.79602e+06,200,294.665,52169
6572222,1.61904e+06,225,323,14589
7005596,3.34256e+06,500,912.045,54024
7003494,2.22086e+06,263,568.708,38810
7002950,1.95889e+06,108,262.239,26974
13309903,47142,1,21.6546,2177
6946550,464566,49,68.1024,13893
13309741,607449,115,119.868,15204
13337846,1.06224e+06,82,196.98,25226
13337736,638309,367,270.513,15492
13335926,486845,307,369.463,11145
17226743,9.91513e+06,5313,3353.17,47317
17227325,2.5363e+06,2860,1660.9,13672
17226247,723719,424,333.654,4298
17226559,444851,757,355.721,3175
17226743,9.91513e+06,5313,3353.17,47317
17226163,1.52956e+06,671,699.528,15434
17225949,1.76822e+06,1565,785.118,16689
17226083,1.82142e+06,1752,1179.94,16353
17226139,2.15563e+06,1273,790.677,17413
17225881,122747,212,97.4956,1259
14623124,3.50567e+06,2767,1942.82,48845
14623164,7.61102e+06,3455,2289.9,69317
14623218,5.07218e+06,4729,2977.65,41896
11917753,5.36991e+06,2743,2695.32,38927
11915761,2.62087e+06,477,667.853,17083
11916775,3.32444e+06,666,1355.23,23883
11917143,1.93914e+06,520,617.389,22251
11915341,5.18311e+06,1531,2198.86,30656
17543097,1.77628e+06,150,387.369,12677
17542381,173263,2,89.4492,1937
17542441,2.07109e+06,339,636.899,18189
17542479,3.27191e+06,582,966.209,25023
17542973,3.6313e+06,1384,1524.57,25240
13374191,1.51217e+06,489,937.147,10170
13360784,2.30272e+06,900,1270.78,15805
