comid,water,wetland,coniferous_forest,deciduous_short,deciduous_medium,deciduous_tall,grass_1,grass_2,cut_hay,corn,soybeans,barren__fallow,structures,roads__impervious,sum
13337704,0.009999011036829,0.0029105186122869,0.011190810554215,0.019259266584912,0.011892183235096,0.10167530361169,0.093078741247676,0,0.31607658530796,0.38131848569959,0,0.0097693737885201,0.036757090865936,0.0037391708532774,1.01116e+07
17539093,0.0006629036913505,0.014130720631154,0.023857798018024,0.050122831211315,0.027231006061384,0.18452048790396,0.24795120960414,0,0.034507552676309,0.09914306789391,0.0072630768737372,0.08076264391777,0.21619896731984,0.0057775568455149,9.3543e+06
17539093,0.0006629036913505,0.014130720631154,0.023857798018024,0.050122831211315,0.027231006061384,0.18452048790396,0.24795120960414,0,0.034507552676309,0.09914306789391,0.0072630768737372,0.08076264391777,0.21619896731984,0.0057775568455149,9.3543e+06
5121448,0.0004416486242559,0.011558321784546,0.15001405581886,0.062079373455709,0.0097207084132707,0.29793897308681,0.15533381336832,0.030691250376055,0.16345215843127,0.06190626494972,0.012703501131863,0.0053241962290951,0.028056894009262,0.00083003309282266,4.05526e+06
17218568,0.0003215559790842,0.0010902604701168,0.012980501392758,0.016907589307531,0.0084342471778332,0.078097053218003,0.030312270928016,0.00047940184723648,0.40176904657186,0.41584051431581,0.0079822117969017,0.0026882666275717,0.021439182915506,0.0007344964081513,1.84167e+07
6597134,0.019036997102231,0.0045188130377159,0.032768695105241,0.0096090931554238,0.0045589774692814,0.088133072758721,0.029381404856572,0.0018898443291327,0.39860996922524,0.36832131545252,0.000796185726801,0.0030896017251836,0.021239706179662,0.00088178448682526,2.22585e+08
19166665,3.8368570056787E-5,0.0088132232910051,0.053432890183937,0.02391330441549,0.011839497690436,0.19099352659724,0.12430961407924,0.00097709475008692,0.34890523335706,0.14946151553782,0.0059437757653019,0.012523054254069,0.04645494279896,0.012504056224235,2.41604e+07
17243636,0.0019694619745427,0.0075641779869505,0.086806342924377,0.046714354476415,0.019761204406888,0.3948309979677,0.11884604414019,0.00043560808642636,0.18082593503762,0.094173173601455,0.0043119584982351,0.0061779334688202,0.023688094983421,0.0042285271151995,1.12188e+07
17539225,0.0019876047573088,8.7761775535962E-5,0.061880030096084,0.021262284709394,0.0069920205486662,0.13096007171644,0.1106287045276,0.020345772530786,0.2397625113165,0.3488386524135,0.0072513167036588,0.0095311282817862,0.035224385362843,0.0013234076833662,9.02443e+06
6609790,0,0.0060839973758014,0.047929607022417,0.026587275705829,0.0050446765982099,0.10065873524368,0.22706224031368,0,0.0050481294911587,0.0069161445764643,0.0010289620987451,0.15357777257712,0.41064488530641,0.006940314827106,2.60651e+06
6609766,0.0017537464560551,0.0044033285467064,0.055501961698803,0.029356382782871,0.0074200081004455,0.17149543224877,0.12937925222251,0,0.1694130449902,0.13148945919298,0.0019746676976325,0.064779017391411,0.21880407967893,0.0033384881623035,2.44431e+07
6609988,0.0013741625348968,0.0066371838045636,0.11118928894227,0.045866656912465,0.01960252413575,0.18834734713238,0.10371635095304,0,0.20772792384171,0.25460119079927,0.005183375064012,0.008355417947889,0.036424864719445,0.0027568206650635,8.47498e+06
22471909,0.0014797783280274,0.00059643123845458,0.01669791298196,0.01670262940691,0.010049325944268,0.095971605374978,0.053020913851005,0,0.42718800630603,0.32183704751798,0.001641315882561,0.0056866328656212,0.036115150641739,0.0023654836300751,4.57974e+07
22474117,0.0020293597603582,0.0021089264122397,0.055389205184136,0.049058203051422,0.051642068550666,0.1547776447785,0.10173776727286,0,0.25734480097704,0.24624314159158,0.0012566609348702,0.014526245754319,0.054815620461906,0.0066983637037532,3.29158e+07
13310287,0.0023382614066239,0.0041245271365707,0.036650775882035,0.0067590519570756,0.0029684243032502,0.14054873602855,0.13748638239104,0.013776731259168,0.46584660782144,0.14982479391304,0.011917123446306,0.0027426078900641,0.018940592912839,0.0050972747626033,9.32616e+06
7017239,0.0035336965062996,0.041741640988513,0.011491863924917,0.035318688692489,0.03049452150343,0.12847493841658,0.25479026319739,0,0.13945047280176,0.12878925667264,0.0088910569392818,0.052745605283372,0.14734374586133,0.0096125762619083,1.13261e+07
6609812,0.0012474791126477,0.0060980592441267,0.079621917824165,0.049490002298991,0.018234200256672,0.13160617992079,0.17184608982362,0,0.12150167768145,0.093881482645528,0.001525366019748,0.081238195844937,0.23200602975884,0.0033037374610408,3.43629e+07
6572456,0.006272670461036,0.001330795540832,0.0065960710133923,0.0054742233750176,0.0022633502892815,0.040416753462306,0.016333315414234,0.0024217999287716,0.37799108972765,0.50956543943232,0.0050705396560877,0.0027169275015623,0.0216090903593,0.00065254641606806,5.95268e+07
22254479,0.0017429193144885,0.0012121537619282,0.0083263456247704,0.0058970485305022,0.0018823154378695,0.20306200234233,0.086952619870964,0,0.42383282167137,0.23920624250698,0.0023185910007554,0.0013945849301114,0.019978239929037,0.00031091260628824,2.88602e+07
22254495,0.0032624981426142,0.0042877750994733,0.015473881028249,0.018506992025624,0.0077908047020753,0.30226580428932,0.10358950123,0.00044020043256451,0.29776680315013,0.18829042084235,0.0044679415212402,0.00083675229903086,0.024118154501478,0.0013856098003929,9.69104e+06
22254523,0.0040946125247053,0.0017616753970119,0.0054237212002267,0.0065251959144749,0.0039941674844167,0.11784583914972,0.073080590991389,0.0040367711083162,0.36662957997595,0.378208229099,0.0036188202286014,0.0024934004118696,0.025448668334416,0.0012482550827194,2.89412e+07
22254467,0.0046491378570816,0.00084798833319036,0.0025304538045809,0.0028495753624432,0.0015705155700438,0.073718223671042,0.047581925023591,0.00052436304366475,0.41970060907609,0.40355651825799,0.006048511623917,0.0041575877155357,0.028138028652312,0.001025564038775,1.39884e+07
22254471,0.0063141140748963,0.0017395278983969,0.0073645891148911,0.0069884749746972,0.0031450586045904,0.11329731082743,0.070580713267383,0,0.54049539107817,0.20455233057995,0.000679747951288,0.0043497992098991,0.036072676221881,0.0014285481080022,1.83774e+07
3722953,0.00053333961134616,0.002490229842534,0.0069013298176461,0.00093652256385075,0.00023791426476622,0.11634458218704,0.042059771166432,0.00010896836554178,0.43753153019836,0.37262136183551,0.0014977096463909,0.00058479689507423,0.016000491030289,0.00067590655626333,2.97334e+07
13210192,0.00084136818565091,0.0032953587271327,0.29319573266855,0.02221583201965,0.0078135883711552,0.1085550555413,0.12073427246398,0.00037325402353631,0.33272537302489,0.021687914726693,0.054833284452103,0.00060421783920519,0.024300692891447,0.0067577537852403,4.36432e+06
13210172,0.00080898611010872,0.0071819661052535,0.38964852079547,0.046033966918832,0.035961499347169,0.1526031244054,0.14684278900094,0.0010215664018161,0.086354838498028,0.058543726585003,0.048785700694823,0.0015707321553936,0.019254755171803,0.0035562911300217,6.09652e+06
13211112,0,0.0029194430631527,0.027435604177026,0.03439259075087,0.039213326703133,0.16355544505221,0.19376263881982,0.0012076081551467,0.35009199403282,0.10541604508536,0.0032812033814023,0.0060372948781701,0.0432105917454,0.0064430631526604,1.2066e+07
13211112,0,0.0029194430631527,0.027435604177026,0.03439259075087,0.039213326703133,0.16355544505221,0.19376263881982,0.0012076081551467,0.35009199403282,0.10541604508536,0.0032812033814023,0.0060372948781701,0.0432105917454,0.0064430631526604,1.2066e+07
22476391,0.00043598890210067,0,0.0049028933808958,0.0036319196723477,0.0012062359624785,0.048941736028537,0.040656625710133,0.0063112696525301,0.43783047811982,0.40437016485372,0.025126172545911,0.0015246399788611,0.024725855463073,0.0001492931695072,1.36242e+07
17540033,0.0052149694610975,0,0.0050681433004549,0.0021886604665574,0.00083870483129662,0.067155539489313,0.062407456092992,0.021025717464684,0.49167632988587,0.31305426582225,8.4504265118048E-5,0.0041586661471219,0.024083715558644,0.0012062983845601,8.52028e+06
22477611,0.0026620862705874,0,0.011055783234645,0.0053032380182566,0.0031774680566802,0.065970787617811,0.062544794790793,0.0057357975980543,0.42715440228303,0.38587123233104,0.0023284423115784,0.0019788357788442,0.024335074484742,0.00036177472418039,6.87859e+07
