HUC_12,FEATUREID
071000061401,6607840
071000061702,6609944
071000061702,6609962
071000061501,6610592
071000061505,6609740
071000061404,6607844
071000070902,6621124
071000061501,6610864
071000061503,6610866
071000061503,6610598
071000070904,6619442
071000061501,6610516
071000061505,6609748
071000061405,6607912
071000061501,6610968
071000060806,6607742
071000061503,6610618
071000061404,6607828
071000061402,6607794
071000061503,6610604
071000061505,6613678
071000070103,6619898
071000061505,6610708
071000061505,6609912
071000061505,6610702
071000061505,6609712
071000061406,6610562
071000061505,6610730
071000061504,6610682
071000061504,6610676
071000061505,6610706
071000061503,6610614
071000061505,6609820
071000061505,6609908
071000070902,6621100
071000061503,6610644
071000061404,6608224
071000061501,6610550
071000061406,6610530
071000061402,6607736
071000061702,6609974
071000070602,6620306
071000070502,6620242
071000061406,6610580
071000061505,6610690
071000061505,6609836
071000061702,6610158
071000070603,6620838
071000060904,6607704
071000061406,6610564
071000061505,6610112
071000061504,6610686
071000070603,6620744
071000061504,6610916
071000061505,6609846
071000061503,6610630
071000061504,6610674
071000060904,6607694
071000061504,6610914
071000061505,6609884
071000061404,6608254
071000061505,6609832
071000061505,6609750
071000060806,6607738
071000060806,6607714
071000070902,6621692
071000061504,6610684
071000061406,6610560
071000061503,6598088
071000060904,6608206
071000061702,6609946
071000061406,6610810
071000061505,6610120
071000061405,6610502
071000061505,937100084
071000061406,6610542
071000061406,6610812
071000070502,6620268
071000061504,6610678
071000061503,6610970
071000061501,6610558
071000061501,6610586
071000061501,6610594
071000070602,6620292
071000061405,6608274
071000061503,6610584
071000061406,6610846
071000061505,6610698
071000061702,6609966
071000061504,6610820
071000061504,6610918
071000070603,6620952
071000061501,6610524
071000061406,6610554
071000061505,6610734
071000070103,6619904
071000061503,6610590
071000061402,6607752
071000061503,6610870
071000061504,6613732
071000061403,6607816
071000061702,6609956
071000061501,6610634
071000060806,6608304
071000060806,6607748
071000061405,6610500
071000061503,6610606
071000061503,6610652
071000061702,6609968
071000061505,6609688
071000061505,6610122
071000061503,6610588
071000061505,6609798
071000061406,6610856
071000061402,6608324
071000061505,6610940
071000061406,6610576
071000061402,6607706
071000061503,6610628
071000061406,6610840
071000061504,6613786
071000061701,6610142
071000070205,6619882
071000070103,6619894
071000061701,6609924
071000061701,6609848
071000070701,6621022
071000070603,6620502
071000070902,6621270
071000061703,6609972
071000061505,6610108
071000070502,6620634
071000061701,6609866
071000070104,6620126
071000061601,6609684
071000070502,6620656
071000061701,6609850
071000061602,6609796
071000070904,6621248
071000061405,6608282
071000061505,6613754
071000070902,6621114
071000061703,6610080
071000070502,6620728
071000070801,6620644
