Title,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,XNot selected,YNot selected,X30,Y30,X30,Y30
,517.88,879.1,384.18,865.87,536.57,834.7,413.9,839.44,552.18,824.5,268.97,820.08,275.13,818.74,179.29,807,170.49,814.96,294.92,803.37,158.87,787.56,98.92,778.28,105.35,769.3,98.47,765.57,80.91,759.95,153.59,741.2,74.6,724.02,87.31,710.66,168,712,146.96,788.22,203.57,784.56,182.1,792.28,375.7,796.95,182.27,793.21,143.79,795.15,187.19,801.51,133.45,835.66,248.2,841.13,460,0,460,0,460,0
,535.87,878.8,393.01,865.97,544.6,835.8,431.9,840.08,562.19,824.1,270.79,819.7,284.13,819.24,184.77,809.63,197.41,814.99,300.88,803.09,167.86,787.73,101.95,777.99,108.75,769.44,101.87,765.39,84.28,759.73,159.74,741.09,94.94,722.22,90.94,710.86,174,712.09,150.38,787.99,214.28,784.15,188.6,791.84,385.09,798.65,188.61,793.23,145.3,792.31,197.4,801.85,142.55,834.87,257.2,841.48,480,0,480,0,480,0
,562.86,878.77,412.41,865.88,546.48,837.08,437.9,839.78,572.07,824,274.95,818.8,302.13,819.07,192.14,813.38,200.41,815.04,324.69,802.87,176.86,787.13,104.97,777.76,112.15,769.47,105.27,764.92,87.65,759.69,165.88,741.02,113.83,721.92,94.58,711.14,180,712.08,157.22,787.93,217.85,783.88,195.11,791.45,394.49,800.56,194.95,793.57,145.74,790.56,211.02,802.16,148.62,834.25,263.2,841.99,500,0,500,0,500,0
,583.85,879.04,434.9,866.01,549.5,839.28,452.89,840.06,576.27,826.95,279.2,819.2,308.13,819.09,198.14,813.48,212.37,814.98,327.67,802.64,188.85,787.25,108,777.55,115.55,769.43,108.67,764.38,94.39,759.81,175.1,740.92,119.04,719.52,98.22,711.43,192,711.94,164.05,787.75,228.57,783.43,201.61,791.1,403.88,800.81,198.12,793.64,151.93,790.54,217.82,802.33,151.65,834.18,269.2,841.39,520,0,520,0,520,0
,640.83,879.28,445.65,866.06,558.12,840.5,473.89,839.67,577.11,829.28,282.81,820.08,320.13,819.38,213.09,813.18,224.34,815.36,333.62,802.71,191.84,787.59,111.03,777.37,118.95,769.12,112.08,763.65,97.77,759.8,181.24,740.98,121.23,718.4,101.86,711.52,204,711.95,170.89,787.78,232.14,783.46,211.37,790.64,410.14,800.68,201.28,793.55,155.89,791.19,228.03,802.41,154.68,834.24,275.2,842.36,540,0,540,0,540,0
,658.82,879.92,452.88,866.14,566.84,840.85,485.88,838.99,584.19,829.67,284.96,823.18,335.13,819.15,228.12,813.06,239.29,815.43,345.53,802.24,194.84,787.65,114.05,777.22,122.35,768.77,115.48,762.46,101.14,759.93,190.46,740.9,129.27,718.4,105.5,711.26,210,711.85,187.98,787.28,235.71,783.29,221.12,790.3,419.53,800.72,210.79,793.01,162.2,791.84,231.44,802.47,157.72,834.51,287.2,843.28,560,0,560,0,560,0
,688.81,879.88,455.4,866.1285,572.83,841.7,500.88,838.69,597.36,834.68,303.39,823.68,347.13,818.82,248.09,811.52,248.27,815.62,354.46,802.53,197.84,787.46,120.1,776.97,126.1,768.51,118.88,760.98,104.51,760.41,196.6,740.88,136.19,718.6,109.13,710.94,216,712.17,191.39,787.22,246.42,783.19,237.38,789.67,425.79,799.86,213.96,793.03,163.72,792.48,234.84,802.45,160.75,835.01,290.2,843.74,580,0,580,0,580,0
,736.79,880.31,478.55,866.0231,584.79,841.22,539.08,835.28,601.74,835.54,339.04,824.31,359.13,819.02,263.03,811.57,257.24,816.68,366.37,800.5,215.82,785.75,123.13,776.89,129.56,768.64,122.28,759.33,107.88,760.92,202.74,740.95,143.98,719.2,112.77,710.81,222,712.55,194.81,787.28,267.85,783.14,243.88,789.49,432.06,798.1,217.13,793.15,169.67,795.44,241.65,802.28,163.78,835.32,299.2,843.22,600,0,600,0,600,0
,757.78,880.22,485.83,865.99,590.78,841.35,545.87,835.5,604.71,836.28,345.02,824.6,380.13,818.63,266.02,812.42,263.22,816.99,372.33,799.99,218.82,785.59,126.16,776.68,133.01,768.73,125.68,757.42,111.25,761.34,208.89,740.75,163.78,719.1,116.41,710.72,228,712.42,201.65,787.03,274.99,783.03,247.14,789.46,441.45,796.77,220.3,793.07,171.83,795.36,245.05,802.14,169.85,835.8,311.2,842.11,620,0,620,0,620,0
,799.76,880.78,500.81,865.68,597.61,840.8337,563.86,834.84,616.61,837.74,356.99,824.67,386.13,818.33,277.97,812.22,275.19,816.52,378.28,799.14,236.81,785.18,129.18,776.38,143.37,768.77,132.49,753.44,114.62,761.59,215.03,740.62,173.76,719.52,120.05,710.67,234,712.58,205.06,786.84,278.57,783.09,253.64,789.55,460.23,795.83,226.64,792.8,178.02,796.0608,255.26,801.82,172.88,835.97,320.2,842.22,640,0,640,0,640,0
